<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;60;20220712;180000;16.040.0000000
GMKN;60;20220712;190000;15.922.0000000
GMKN;60;20220713;110000;15.800.0000000
GMKN;60;20220713;120000;15.702.0000000
GMKN;60;20220713;130000;15.522.0000000
GMKN;60;20220713;140000;15.420.0000000
GMKN;60;20220713;150000;15.426.0000000
GMKN;60;20220713;160000;15.162.0000000
GMKN;60;20220713;170000;15.254.0000000
GMKN;60;20220713;180000;15.318.0000000
GMKN;60;20220713;190000;15.200.0000000
GMKN;60;20220714;110000;15.284.0000000
GMKN;60;20220714;120000;15.328.0000000
GMKN;60;20220714;130000;15.090.0000000
GMKN;60;20220714;140000;15.166.0000000
GMKN;60;20220714;150000;15.084.0000000
GMKN;60;20220714;160000;15.060.0000000
GMKN;60;20220714;170000;15.080.0000000
GMKN;60;20220714;180000;15.276.0000000
GMKN;60;20220714;190000;15.302.0000000
GMKN;60;20220715;110000;15.242.0000000
GMKN;60;20220715;120000;15.200.0000000
GMKN;60;20220715;130000;15.336.0000000
GMKN;60;20220715;140000;15.520.0000000
GMKN;60;20220715;150000;15.392.0000000
GMKN;60;20220715;160000;15.420.0000000
GMKN;60;20220715;170000;15.462.0000000
GMKN;60;20220715;180000;15.546.0000000
GMKN;60;20220715;190000;15.600.0000000
GMKN;60;20220718;110000;15.440.0000000
GMKN;60;20220718;120000;15.296.0000000
GMKN;60;20220718;130000;15.196.0000000
GMKN;60;20220718;140000;15.172.0000000
GMKN;60;20220718;150000;15.224.0000000
GMKN;60;20220718;160000;15.252.0000000
GMKN;60;20220718;170000;15.248.0000000
GMKN;60;20220718;180000;15.222.0000000
GMKN;60;20220718;190000;15.282.0000000
GMKN;60;20220719;110000;15.104.0000000
GMKN;60;20220719;120000;15.146.0000000
GMKN;60;20220719;130000;15.048.0000000
GMKN;60;20220719;140000;14.960.0000000
GMKN;60;20220719;150000;14.860.0000000
GMKN;60;20220719;160000;14.904.0000000
GMKN;60;20220719;170000;14.822.0000000
GMKN;60;20220719;180000;14.908.0000000
GMKN;60;20220719;190000;14.914.0000000
GMKN;60;20220720;110000;14.962.0000000
GMKN;60;20220720;120000;14.926.0000000
GMKN;60;20220720;130000;14.980.0000000
GMKN;60;20220720;140000;14.940.0000000
GMKN;60;20220720;150000;14.948.0000000
GMKN;60;20220720;160000;14.968.0000000
GMKN;60;20220720;170000;14.982.0000000
GMKN;60;20220720;180000;15.002.0000000
GMKN;60;20220720;190000;15.050.0000000
GMKN;60;20220721;110000;14.752.0000000
GMKN;60;20220721;120000;14.660.0000000
GMKN;60;20220721;130000;14.886.0000000
GMKN;60;20220721;140000;14.830.0000000
GMKN;60;20220721;150000;14.788.0000000
GMKN;60;20220721;160000;14.786.0000000
GMKN;60;20220721;170000;14.798.0000000
GMKN;60;20220721;180000;14.792.0000000
GMKN;60;20220721;190000;14.800.0000000
GMKN;60;20220722;110000;14.898.0000000
GMKN;60;20220722;120000;14.886.0000000
GMKN;60;20220722;130000;14.894.0000000
GMKN;60;20220722;140000;14.908.0000000
GMKN;60;20220722;150000;14.950.0000000
GMKN;60;20220722;160000;14.920.0000000
GMKN;60;20220722;170000;14.866.0000000
GMKN;60;20220722;180000;14.804.0000000
GMKN;60;20220722;190000;14.730.0000000
GMKN;60;20220725;110000;14.816.0000000
GMKN;60;20220725;120000;14.720.0000000
GMKN;60;20220725;130000;14.726.0000000
GMKN;60;20220725;140000;14.710.0000000
GMKN;60;20220725;150000;14.760.0000000
GMKN;60;20220725;160000;14.810.0000000
GMKN;60;20220725;170000;14.796.0000000
GMKN;60;20220725;180000;14.800.0000000
GMKN;60;20220725;190000;14.794.0000000
GMKN;60;20220726;110000;14.928.0000000
GMKN;60;20220726;120000;15.230.0000000
GMKN;60;20220726;130000;15.314.0000000
GMKN;60;20220726;140000;15.400.0000000
GMKN;60;20220726;150000;15.292.0000000
GMKN;60;20220726;160000;15.246.0000000
GMKN;60;20220726;170000;15.344.0000000
GMKN;60;20220726;180000;15.394.0000000
GMKN;60;20220726;190000;15.850.0000000
GMKN;60;20220727;110000;16.034.0000000
GMKN;60;20220727;120000;15.824.0000000
GMKN;60;20220727;130000;16.040.0000000
GMKN;60;20220727;140000;16.108.0000000
GMKN;60;20220727;150000;15.926.0000000
GMKN;60;20220727;160000;15.914.0000000
GMKN;60;20220727;170000;15.962.0000000
GMKN;60;20220727;180000;15.666.0000000
GMKN;60;20220727;190000;15.640.0000000
GMKN;60;20220728;110000;15.582.0000000
GMKN;60;20220728;120000;15.404.0000000
GMKN;60;20220728;130000;15.380.0000000
GMKN;60;20220728;140000;15.540.0000000
GMKN;60;20220728;150000;15.516.0000000
GMKN;60;20220728;160000;15.422.0000000
GMKN;60;20220728;170000;15.394.0000000
GMKN;60;20220728;180000;15.494.0000000
GMKN;60;20220728;190000;15.500.0000000
GMKN;60;20220729;110000;15.666.0000000
GMKN;60;20220729;120000;15.900.0000000
GMKN;60;20220729;130000;15.788.0000000
GMKN;60;20220729;140000;15.672.0000000
GMKN;60;20220729;150000;15.682.0000000
GMKN;60;20220729;160000;15.826.0000000
GMKN;60;20220729;170000;15.914.0000000
GMKN;60;20220729;180000;16.046.0000000
GMKN;60;20220729;190000;16.150.0000000
GMKN;60;20220801;110000;16.080.0000000
GMKN;60;20220801;120000;16.138.0000000
GMKN;60;20220801;130000;16.176.0000000
GMKN;60;20220801;140000;16.060.0000000
GMKN;60;20220801;150000;15.956.0000000
GMKN;60;20220801;160000;15.970.0000000
GMKN;60;20220801;170000;15.870.0000000
GMKN;60;20220801;180000;15.836.0000000
GMKN;60;20220801;190000;15.590.0000000
GMKN;60;20220802;110000;15.542.0000000
GMKN;60;20220802;120000;15.186.0000000
GMKN;60;20220802;130000;15.262.0000000
GMKN;60;20220802;140000;15.302.0000000
GMKN;60;20220802;150000;15.180.0000000
GMKN;60;20220802;160000;15.210.0000000
GMKN;60;20220802;170000;15.196.0000000
GMKN;60;20220802;180000;15.182.0000000
GMKN;60;20220802;190000;15.140.0000000
GMKN;60;20220803;110000;15.300.0000000
GMKN;60;20220803;120000;15.338.0000000
GMKN;60;20220803;130000;15.144.0000000
GMKN;60;20220803;140000;15.158.0000000
GMKN;60;20220803;150000;14.984.0000000
GMKN;60;20220803;160000;14.838.0000000
GMKN;60;20220803;170000;14.832.0000000
GMKN;60;20220803;180000;14.810.0000000
GMKN;60;20220803;190000;14.754.0000000
GMKN;60;20220804;110000;14.754.0000000
GMKN;60;20220804;120000;14.758.0000000
GMKN;60;20220804;130000;14.674.0000000
GMKN;60;20220804;140000;14.672.0000000
GMKN;60;20220804;150000;14.650.0000000
GMKN;60;20220804;160000;14.646.0000000
GMKN;60;20220804;170000;14.714.0000000
GMKN;60;20220804;180000;14.730.0000000
GMKN;60;20220804;190000;14.710.0000000
GMKN;60;20220805;110000;14.682.0000000
GMKN;60;20220805;120000;14.428.0000000
GMKN;60;20220805;130000;14.470.0000000
GMKN;60;20220805;140000;14.524.0000000
GMKN;60;20220805;150000;14.496.0000000
GMKN;60;20220805;160000;14.398.0000000
GMKN;60;20220805;170000;14.480.0000000
GMKN;60;20220805;180000;14.402.0000000
GMKN;60;20220805;190000;14.394.0000000
GMKN;60;20220808;110000;14.728.0000000
GMKN;60;20220808;120000;14.670.0000000
GMKN;60;20220808;130000;14.648.0000000
GMKN;60;20220808;140000;14.598.0000000
GMKN;60;20220808;150000;14.640.0000000
GMKN;60;20220808;160000;14.614.0000000
GMKN;60;20220808;170000;14.610.0000000
GMKN;60;20220808;180000;14.564.0000000
GMKN;60;20220808;190000;14.458.0000000
GMKN;60;20220809;110000;14.440.0000000
GMKN;60;20220809;120000;14.470.0000000
GMKN;60;20220809;130000;14.508.0000000
GMKN;60;20220809;140000;14.592.0000000
GMKN;60;20220809;150000;14.600.0000000
GMKN;60;20220809;160000;14.738.0000000
GMKN;60;20220809;170000;14.730.0000000
GMKN;60;20220809;180000;14.964.0000000
GMKN;60;20220809;190000;15.150.0000000
GMKN;60;20220810;110000;14.984.0000000
GMKN;60;20220810;120000;15.272.0000000
GMKN;60;20220810;130000;15.242.0000000
GMKN;60;20220810;140000;15.036.0000000
GMKN;60;20220810;150000;15.032.0000000
GMKN;60;20220810;160000;15.082.0000000
GMKN;60;20220810;170000;14.950.0000000
GMKN;60;20220810;180000;14.932.0000000
GMKN;60;20220810;190000;14.970.0000000
GMKN;60;20220811;110000;15.050.0000000
GMKN;60;20220811;120000;14.962.0000000
GMKN;60;20220811;130000;14.950.0000000
GMKN;60;20220811;140000;14.954.0000000
GMKN;60;20220811;150000;14.896.0000000
GMKN;60;20220811;160000;15.012.0000000
GMKN;60;20220811;170000;15.070.0000000
GMKN;60;20220811;180000;14.904.0000000
GMKN;60;20220811;190000;14.908.0000000
GMKN;60;20220812;110000;14.912.0000000
GMKN;60;20220812;120000;14.828.0000000
GMKN;60;20220812;130000;14.852.0000000
GMKN;60;20220812;140000;14.864.0000000
GMKN;60;20220812;150000;14.800.0000000
GMKN;60;20220812;160000;14.816.0000000
GMKN;60;20220812;170000;14.852.0000000
GMKN;60;20220812;180000;14.824.0000000
GMKN;60;20220812;190000;14.826.0000000
GMKN;60;20220815;110000;14.928.0000000
GMKN;60;20220815;120000;14.970.0000000
GMKN;60;20220815;130000;14.914.0000000
GMKN;60;20220815;140000;14.892.0000000
GMKN;60;20220815;150000;14.888.0000000
GMKN;60;20220815;160000;14.888.0000000
GMKN;60;20220815;170000;14.938.0000000
GMKN;60;20220815;180000;15.084.0000000
GMKN;60;20220815;190000;15.142.0000000
GMKN;60;20220816;110000;15.264.0000000
GMKN;60;20220816;120000;15.246.0000000
GMKN;60;20220816;130000;15.238.0000000
GMKN;60;20220816;140000;15.286.0000000
GMKN;60;20220816;150000;15.260.0000000
GMKN;60;20220816;160000;15.350.0000000
GMKN;60;20220816;170000;15.420.0000000
GMKN;60;20220816;180000;15.446.0000000
GMKN;60;20220816;190000;15.444.0000000
GMKN;60;20220817;110000;15.252.0000000
GMKN;60;20220817;120000;15.290.0000000
GMKN;60;20220817;130000;15.310.0000000
GMKN;60;20220817;140000;15.342.0000000
GMKN;60;20220817;150000;15.284.0000000
GMKN;60;20220817;160000;15.180.0000000
GMKN;60;20220817;170000;15.268.0000000
GMKN;60;20220817;180000;15.310.0000000
GMKN;60;20220817;190000;15.370.0000000
GMKN;60;20220818;110000;15.302.0000000
GMKN;60;20220818;120000;15.200.0000000
GMKN;60;20220818;130000;15.220.0000000
GMKN;60;20220818;140000;15.192.0000000
GMKN;60;20220818;150000;15.162.0000000
GMKN;60;20220818;160000;15.128.0000000
GMKN;60;20220818;170000;15.112.0000000
GMKN;60;20220818;180000;15.150.0000000
GMKN;60;20220818;190000;15.160.0000000
GMKN;60;20220819;110000;15.044.0000000
GMKN;60;20220819;120000;14.984.0000000
GMKN;60;20220819;130000;15.030.0000000
GMKN;60;20220819;140000;15.050.0000000
GMKN;60;20220819;150000;15.068.0000000
GMKN;60;20220819;160000;15.186.0000000
GMKN;60;20220819;170000;15.240.0000000
GMKN;60;20220819;180000;15.302.0000000
GMKN;60;20220819;190000;15.330.0000000
GMKN;60;20220822;110000;15.472.0000000
GMKN;60;20220822;120000;15.474.0000000
GMKN;60;20220822;130000;15.430.0000000
GMKN;60;20220822;140000;15.484.0000000
GMKN;60;20220822;150000;15.450.0000000
GMKN;60;20220822;160000;15.428.0000000
GMKN;60;20220822;170000;15.348.0000000
GMKN;60;20220822;180000;15.368.0000000
GMKN;60;20220822;190000;15.430.0000000
GMKN;60;20220823;110000;15.600.0000000
GMKN;60;20220823;120000;15.588.0000000
GMKN;60;20220823;130000;15.730.0000000
GMKN;60;20220823;140000;15.680.0000000
GMKN;60;20220823;150000;15.646.0000000
GMKN;60;20220823;160000;15.640.0000000
GMKN;60;20220823;170000;15.550.0000000
GMKN;60;20220823;180000;15.584.0000000
GMKN;60;20220823;190000;15.592.0000000
GMKN;60;20220824;110000;15.514.0000000
GMKN;60;20220824;120000;15.516.0000000
GMKN;60;20220824;130000;15.430.0000000
GMKN;60;20220824;140000;15.494.0000000
GMKN;60;20220824;150000;15.494.0000000
GMKN;60;20220824;160000;15.462.0000000
GMKN;60;20220824;170000;15.448.0000000
GMKN;60;20220824;180000;15.420.0000000
GMKN;60;20220824;190000;15.458.0000000
GMKN;60;20220825;110000;15.506.0000000
GMKN;60;20220825;120000;15.524.0000000
GMKN;60;20220825;130000;15.510.0000000
GMKN;60;20220825;140000;15.500.0000000
GMKN;60;20220825;150000;15.356.0000000
GMKN;60;20220825;160000;15.352.0000000
