<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20220511;120000;240.1300000
GAZP;60;20220511;130000;240.3200000
GAZP;60;20220511;140000;240.2700000
GAZP;60;20220511;150000;239.9600000
GAZP;60;20220511;160000;240.3200000
GAZP;60;20220511;170000;240.9000000
GAZP;60;20220511;180000;241.7500000
GAZP;60;20220511;190000;241.9900000
GAZP;60;20220512;110000;240.3600000
GAZP;60;20220512;120000;239.9900000
GAZP;60;20220512;130000;240.1600000
GAZP;60;20220512;140000;239.8800000
GAZP;60;20220512;150000;239.9100000
GAZP;60;20220512;160000;238.2900000
GAZP;60;20220512;170000;231.5000000
GAZP;60;20220512;180000;233.5000000
GAZP;60;20220512;190000;230.5600000
GAZP;60;20220513;110000;231.8000000
GAZP;60;20220513;120000;231.8700000
GAZP;60;20220513;130000;233.9400000
GAZP;60;20220513;140000;234.8800000
GAZP;60;20220513;150000;234.9000000
GAZP;60;20220513;160000;234.7700000
GAZP;60;20220513;170000;234.9100000
GAZP;60;20220513;180000;236.8500000
GAZP;60;20220513;190000;235.5200000
GAZP;60;20220516;110000;240.2000000
GAZP;60;20220516;120000;239.2400000
GAZP;60;20220516;130000;241.4300000
GAZP;60;20220516;140000;242.4700000
GAZP;60;20220516;150000;244.5200000
GAZP;60;20220516;160000;244.8000000
GAZP;60;20220516;170000;244.3300000
GAZP;60;20220516;180000;243.4500000
GAZP;60;20220516;190000;244.2000000
GAZP;60;20220517;110000;246.6900000
GAZP;60;20220517;120000;249.2700000
GAZP;60;20220517;130000;248.5200000
GAZP;60;20220517;140000;248.0100000
GAZP;60;20220517;150000;247.8000000
GAZP;60;20220517;160000;247.5800000
GAZP;60;20220517;170000;258.9900000
GAZP;60;20220517;180000;256.8700000
GAZP;60;20220517;190000;258.8000000
GAZP;60;20220518;110000;268.5500000
GAZP;60;20220518;120000;268.6600000
GAZP;60;20220518;130000;266.3500000
GAZP;60;20220518;140000;267.6200000
GAZP;60;20220518;150000;266.0000000
GAZP;60;20220518;160000;266.1200000
GAZP;60;20220518;170000;265.2200000
GAZP;60;20220518;180000;264.7200000
GAZP;60;20220518;190000;264.8400000
